,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.11666663487752278,0.006666660308837891,0.6498237367802585,0.7620496642405876,gini,3,3,100,"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 100, 'max_depth': 3}",3,0.6549295774647887,0.7601410934744268,0.6549295774647887,0.7724867724867724,0.6395759717314488,0.7535211267605634,0.004714096909049338,0.004714040712246475,0.00723349540068422,0.007859427936353493
1,0.16666666666666666,0.013333320617675781,0.6204465334900118,0.7638174727376605,gini,3,3,150,"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 150, 'max_depth': 3}",38,0.6408450704225352,0.7548500881834215,0.6091549295774648,0.7901234567901234,0.6113074204946997,0.7464788732394366,0.004713984517453334,0.004714040712246475,0.01446336173707711,0.0189124810224346
2,0.11999996503194173,0.0033333301544189453,0.63572267920094,0.7579365079365079,gini,3,4,100,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 100, 'max_depth': 3}",11,0.6549295774647887,0.7477954144620811,0.6126760563380281,0.7760141093474426,0.6395759717314488,0.75,1.1239159602905075e-07,0.004714040712246475,0.017473049482763188,0.012814439874037213
3,0.17333332697550455,0.010000069936116537,0.63572267920094,0.7720375752457129,gini,3,4,150,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 150, 'max_depth': 3}",11,0.647887323943662,0.7548500881834215,0.6408450704225352,0.7971781305114638,0.6183745583038869,0.7640845070422535,0.004713928320650446,1.1239159602905075e-07,0.01257871469836261,0.018172401459682273
4,0.11999996503194173,0.009999990463256836,0.6603995299647474,0.763818507754345,gini,3,5,100,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 100, 'max_depth': 3}",1,0.676056338028169,0.7566137566137566,0.6654929577464789,0.7901234567901234,0.6395759717314488,0.7447183098591549,1.1239159602905075e-07,0.0,0.015318819355164326,0.019223911693583888
5,0.1766667366027832,0.013333320617675781,0.6509988249118684,0.7538233516324283,gini,3,5,150,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 150, 'max_depth': 3}",2,0.6619718309859155,0.7389770723104057,0.6549295774647887,0.7760141093474426,0.6360424028268551,0.7464788732394366,0.004714040712246475,0.004714040712246475,0.010942062002726256,0.015987318938657884
6,0.12666662534077963,0.009999990463256836,0.6321974148061105,0.7579365079365079,gini,3,6,100,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 100, 'max_depth': 3}",13,0.6584507042253521,0.7407407407407407,0.6338028169014085,0.783068783068783,0.6042402826855123,0.75,0.004714096909049338,0.0,0.022153929656207008,0.018168781109379636
7,0.1833333969116211,0.016666650772094727,0.6298472385428907,0.7649901466411638,gini,3,6,150,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 150, 'max_depth': 3}",15,0.6514084507042254,0.763668430335097,0.6232394366197183,0.7795414462081128,0.6148409893992933,0.7517605633802817,0.004714040712246475,0.004714040712246475,0.015639744125450508,0.011379940338704542
8,0.11333330472310384,0.009999990463256836,0.6251468860164512,0.8331439252800754,gini,4,3,100,"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 100, 'max_depth': 4}",27,0.647887323943662,0.8324514991181657,0.6126760563380281,0.8447971781305115,0.6148409893992933,0.8221830985915493,0.0047141531038425045,0.0,0.016118327263303613,0.009245133452828042
9,0.1766666571299235,0.009999990463256836,0.6239717978848414,0.8213944158779839,gini,4,3,150,"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 150, 'max_depth': 4}",31,0.6302816901408451,0.818342151675485,0.6091549295774648,0.8377425044091711,0.6325088339222615,0.8080985915492958,0.004713984517453334,0.0,0.01052566374877118,0.012293023224099189
10,0.12199997901916504,0.009999990463256836,0.6098707403055229,0.8319650412764653,gini,4,4,100,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 100, 'max_depth': 4}",56,0.6338028169014085,0.8395061728395061,0.5915492957746479,0.8289241622574955,0.6042402826855123,0.8274647887323944,0.0028283907115438634,0.0,0.017711715902206018,0.0053655656247196
11,0.187333345413208,0.009999990463256836,0.6263219741480611,0.828441844482533,gini,4,4,150,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 150, 'max_depth': 4}",22,0.6514084507042254,0.8324514991181657,0.6091549295774648,0.8324514991181657,0.6183745583038869,0.8204225352112676,0.0052492911859113875,0.0,0.018148806483848513,0.005670507966143923
12,0.12666662534077963,0.009999990463256836,0.6251468860164512,0.8366722971574302,gini,4,5,100,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 100, 'max_depth': 4}",27,0.6443661971830986,0.8253968253968254,0.6091549295774648,0.8641975308641975,0.6219081272084805,0.8204225352112676,0.004714096909049338,0.0,0.014563928902838223,0.01956893386078479
13,0.19666671752929688,0.013333320617675781,0.6286721504112809,0.8355016932872957,gini,4,5,150,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 150, 'max_depth': 4}",17,0.6619718309859155,0.8377425044091711,0.6091549295774648,0.8571428571428571,0.6148409893992933,0.8116197183098591,0.004714040712246475,0.004714040712246475,0.023681164769904003,0.01865216641867716
